lambda_nm,txx,txy,tyx,tyy
614.0,(-0.07647851274195487-0.49607287640690856j),(-0.038641880096404076-0.12464293428382922j),(-0.040543045966052176-0.12060819587457375j),(-0.17514919670572585-0.49163239114185037j)
614.9999999999999,(-0.08160590900511992-0.4882141427103457j),(-0.04594508395263945-0.12926624485649824j),(-0.047726967772647046-0.12488371087447156j),(-0.17921606360171194-0.4857681161398586j)
615.9999999999998,(-0.08570982875788473-0.4806544737811277j),(-0.054021215528501774-0.1332568647583829j),(-0.05563190722588982-0.12853325742804797j),(-0.18272718465778712-0.48036662520122675j)
617.0,(-0.0888493187704017-0.4735535463828301j),(-0.06278043515758779-0.13648399077131784j),(-0.06417466319033728-0.13143732124253601j),(-0.1857645210233663-0.4755158313198771j)
618.0,(-0.09111608024565024-0.46706092119224907j),(-0.07210684787957382-0.13883881195714134j),(-0.07324773670245437-0.13349147343547657j),(-0.18843058406389396-0.47129386948622537j)
618.9999999999999,(-0.09263246332828483-0.46130748118485176j),(-0.08186720806697262-0.140238077378299j),(-0.08272265941841563-0.13461229968563804j),(-0.1908501992925772-0.4677596856288466j)
620.0,(-0.09354662527195406-0.45639735040995466j),(-0.0919170443391257-0.14062397491839582j),(-0.09245503589699611-0.1347425578919571j),(-0.1931645509788599-0.46494177895579236j)
621.0,(-0.09402503391058259-0.45240146082637156j),(-0.10210373729040804-0.13996433730006252j),(-0.1022911540227839-0.1338549524221158j),(-0.1955180228011225-0.4628319838224318j)
621.9999999999999,(-0.09424306065294276-0.4493538031394389j),(-0.11226955595978802-0.1382553982556193j),(-0.1120757351558277-0.13195391584443583j),(-0.19804364898094165-0.46138828035978496j)
623.0,(-0.09437484844265727-0.44725097612615655j),(-0.12225806277679623-0.1355255280762567j),(-0.12166009981232642-0.12907495328499627j),(-0.2008539091014079-0.4605447047249647j)
624.0,(-0.09458381393990566-0.44605504477724256j),(-0.1319243611858402-0.13183593144605035j),(-0.13090981741163812-0.12528143169209216j),(-0.20403956800478987-0.46022216659515797j)
625.0,(-0.09501498898815468-0.44569910353425957j),(-0.14114590021292786-0.12727531985516072j),(-0.13971088154031897-0.12065912362924275j),(-0.20767360788647907-0.4603345465547383j)
625.9999999999999,(-0.09578997110812015-0.44609449389428274j),(-0.14982911577099875-0.12194930148939298j),(-0.14797364853429354-0.1153092312764373j),(-0.21181443904278618-0.46078909579312566j)
627.0,(-0.09700467247666887-0.4471384647350626j),(-0.15790930504757988-0.11596870718038745j),(-0.1556341690759909-0.10934089734889622j),(-0.2165045070789974-0.4614850262804035j)
628.0,(-0.09872950694328846-0.44872121107342083j),(-0.16534518350369318-0.1094415784504012j),(-0.16265303405556325-0.10286426389296348j),(-0.22176529777411047-0.4623154504767568j)
628.9999999999999,(-0.10101128768070465-0.45073160558547615j),(-0.17211247306851446-0.10247073980924706j),(-0.16901231232844205-0.09598494270423528j),(-0.22759353888995879-0.4631747084145924j)
629.9999999999999,(-0.10387600355791246-0.4530614040216021j),(-0.17820050490736697-0.09515497070786785j),(-0.17471145033732804-0.088800366867993j),(-0.23396312367790822-0.46396827963787485j)
631.0,(-0.10733178578445841-0.45560810593367984j),(-0.18361264618281042-0.08758973916633939j),(-0.17976305321836764-0.0813980190159509j),(-0.2408332538830601-0.46461981807757163j)
631.9999999999999,(-0.11137167347959581-0.458276873883994j),(-0.18836793567299265-0.07986467042867687j),(-0.18418927285956382-0.07385511963538764j),(-0.24815874552318776-0.4650714327549979j)
632.9999999999999,(-0.11597610482762906-0.4609819226705352j),(-0.19250025263552384-0.07205826736817186j),(-0.18801916691969614-0.06623912562969744j),(-0.255896887266731-0.4652778916141039j)
633.9999999999999,(-0.12111527969666198-0.463647630978659j),(-0.1960533330555609-0.06423318250730865j),(-0.1912869909906586-0.05860838969150844j),(-0.2640078207681761-0.46519944801517665j)
635.0,(-0.12675159521886606-0.466209401855403j),(-0.19907332058831012-0.05643542604685962j),(-0.19403107679447026-0.05101253953153017j),(-0.27245010222379457-0.4647984886340031j)
635.9999999999999,(-0.1328422556281507-0.4686141172094578j),(-0.20160264613193363-0.04869828390130793j),(-0.1962928257481163-0.043492459074270844j),(-0.2811763732044409-0.46404192013920925j)
637.0,(-0.13934197104819018-0.4708199744225703j),(-0.2036782755761706-0.04104846138464397j),(-0.1981154324004266-0.036080064890921505j),(-0.29013356740788465-0.4629067042681873j)
637.9999999999999,(-0.1462054849477617-0.4727955795454176j),(-0.20533436127683172-0.033510531796055704j),(-0.19954219409481228-0.02879825662170323j),(-0.29926832825163774-0.4613835755001758j)
638.9999999999999,(-0.15338959226121807-0.47451835870278325j),(-0.20660635230335644-0.026107189905724422j),(-0.20061455648921245-0.021661418525270953j),(-0.30853419352854744-0.4594753929887586j)
640.0,(-0.1608543699530974-0.4759725538989656j),(-0.2075328486987181-0.018855977970207504j),(-0.20137027077364691-0.014676671139010932j),(-0.3178956545145304-0.45719061125572336j)
641.0,(-0.16856352073315825-0.4771472029751713j),(-0.20815342216934837-0.011765709336577704j),(-0.2018421090819412-0.00784579314390849j),(-0.32732639320398593-0.4545359659877272j)
641.9999999999999,(-0.17648396184878293-0.47803450771066003j),(-0.20850377754824828-0.004835927342148352j),(-0.20205747225829698-0.00116746510566983j),(-0.33680313885866736-0.45151304376030627j)
642.9999999999999,(-0.1845849870921027-0.47862886240199304j),(-0.20861167494781035+0.001939595824212086j),(-0.20203897055620143+0.005360666156652734j),(-0.3462996202495174-0.44812060508636475j)
643.9999999999999,(-0.19283741797544027-0.47892659371558954j),(-0.20849652844765645+0.008567332086198864j),(-0.20180575701093795+0.011740580496701023j),(-0.3557848748475169-0.444360456094109j)
645.0,(-0.20121310749906246-0.4789262307752804j),(-0.20817297945434415+0.015049961235829511j),(-0.20137515616675425+0.017973417751624473j),(-0.36522695212432543-0.44024225023052554j)
645.9999999999999,(-0.20968498738100427-0.4786289647306614j),(-0.20765594331472442+0.021386300785967965j),(-0.20076404516959276+0.024059935663864992j),(-0.3745991796054658-0.4357835081411392j)
647.0,(-0.21822762068477783-0.4780389241514119j),(-0.20696364553684957+0.02757488808656892j),(-0.19998954294580337+0.030001578884279217j),(-0.3838843865236826-0.4310046383532856j)
648.0,(-0.2268180189603421-0.47716299431082265j),(-0.20611665117203365+0.03361838077349105j),(-0.19906881344558938+0.035801653749255494j),(-0.39307398230580587-0.42592230368959183j)
649.0,(-0.23543637727560923-0.4760101042539982j),(-0.20513374395408926+0.03952545479760986j),(-0.19801810433281478+0.04146608517883464j),(-0.40216242721517287-0.42054562483378716j)
649.9999999999998,(-0.24406640624492004-0.4745901227043534j),(-0.2040277056908912+0.045308716366978065j),(-0.19685141391266173+0.04700339378675314j),(-0.4111408287489365-0.4148777136915061j)
651.0,(-0.2526950841187918-0.47291266420612804j),(-0.2028040741158006+0.05097997273577691j),(-0.19557931290281202+0.05242381719060136j),(-0.41999395711981446-0.40892134560077475j)
652.0,(-0.2613118595804777-0.47098615473078814j),(-0.20146385250926788+0.05654604877768508j),(-0.19420839809012444+0.05773781095372693j),(-0.428702579117267-0.4026847796593135j)
652.9999999999999,(-0.2699075316974957-0.4688174268591571j),(-0.20000840453537017+0.062007948861269944j),(-0.1927416393357762+0.06295439461328912j),(-0.4372493669741684-0.39618370734584846j)
