lambda_nm,T_LL,T_LR,T_RL,T_RR
614.0,(-0.12379648551921262-0.49290205083955546j),(-0.073290223097316+0.03737222039869903j),(0.17196090706108696-0.04181270566375722j),(-0.12783122392846807-0.4948032167092035j)
614.9999999999999,(-0.1282197193124026-0.48610018751509837j),(-0.07826990056718888+0.045613012577399706j),(0.17588005516378089-0.0480590391478868j),(-0.13260225329442926-0.4878820713351059j)
615.9999999999998,(-0.13185670304266844-0.4797052036424832j),(-0.08238638314326421+0.05468263708724533j),(0.17940373904316662-0.05497048566714627j),(-0.1365803103730034-0.48131589533987124j)
617.0,(-0.13478358513249306-0.4738375748349789j),(-0.08550305488044461+0.06445869164248605j),(0.1824182571334092-0.06249640670543902j),(-0.1398302546612749-0.47523180286772837j)
618.0,(-0.1370996628939397-0.4686069509277969j),(-0.08750789078718711+0.07479376643800224j),(0.18482239460543082-0.07056081814402594j),(-0.1424470014156045-0.46974783975067746j)
618.9999999999999,(-0.13892844246410052-0.46410585773112767j),(-0.0883163205498223+0.08552103596469154j),(0.1865340565141147-0.07906883152069669j),(-0.1445542201567615-0.4649613090825707j)
620.0,(-0.14041487961218763-0.4604005689039383j),(-0.08787430355172356+0.09645825439097976j),(0.1874922292586294-0.08791382584514205j),(-0.14629629663862637-0.4609385604618087j)
621.0,(-0.1417168359168792-0.4575230139582137j),(-0.08616315041581922+0.10741270715462609j),(0.1876561393063591-0.09698218415856585j),(-0.1478262207948259-0.4577104306905896j)
621.9999999999999,(-0.14299261361135046-0.45546795215159214j),(-0.08320436288602812+0.11818988416798089j),(0.187004951214027-0.10615540694763483j),(-0.14929409602253396-0.4552741313476318j)
623.0,(-0.14438909137640238-0.45419682190779553j),(-0.07906071035125117+0.1286059455939654j),(0.1855397710100018-0.11531221699515723j),(-0.1508396661676628-0.45359885894332574j)
624.0,(-0.14603444109536867-0.45364587757330127j),(-0.07383080453662913+0.13850065020769686j),(0.18328655860151336-0.12433352838978146j),(-0.15258894084932684-0.4526313337990992j)
625.0,(-0.14803620032435788-0.45373433438080335j),(-0.06763791229303953+0.14774611238686278j),(0.18029653119136393-0.13311066936638402j),(-0.15465239655027585-0.4522993157081945j)
625.9999999999999,(-0.15048216996897534-0.4543695284620568j),(-0.060617032415582126+0.1562486831020676j),(0.17664150035024817-0.14155408120322469j),(-0.157122240181931-0.45251406122535154j)
627.0,(-0.1534406848620875-0.4554493134935275j),(-0.05290488496347757+0.16394501783445584j),(0.1724047195658061-0.14959845628911492j),(-0.16006849469357876-0.4531741775219385j)
628.0,(-0.15695874507998062-0.4568644054991538j),(-0.04463502575627134+0.1707962284812962j),(0.16767081658709335-0.1572019890779602j),(-0.16353605963741832-0.4541722560510239j)
628.9999999999999,(-0.16105951473282581-0.4585032373700705j),(-0.03593671565211409+0.17678394411303638j),(0.16251896686136824-0.16434084128392012j),(-0.1675453118378376-0.455403076629998j)
629.9999999999999,(-0.1657422616979729-0.4602593691147579j),(-0.026934108727932546+0.18190941543048386j),(0.1570212288479283-0.17100253981421112j),(-0.17209686553784775-0.456770314544719j)
631.0,(-0.170986659758565-0.4620387584878471j),(-0.017743145041844294+0.18619370577253494j),(0.151244613140446-0.17718199362864315j),(-0.1771783799089535-0.45818916552340433j)
631.9999999999999,(-0.17676043410474718-0.4637634847262104j),(-0.008466359010236277+0.18967588370178018j),(0.1452534310538282-0.1828813248307763j),(-0.18276998489803642-0.45958482191278155j)
632.9999999999999,(-0.1830269251779428-0.4653704500002334j),(0.0008116947206163183+0.1924076942493943j),(0.13910908771848562-0.18811172530582565j),(-0.18884606691641723-0.4608893642844057j)
633.9999999999999,(-0.18974915382451893-0.466806710529369j),(0.010025484436348514+0.1944460705413686j),(0.1328670566351656-0.19289425350485095j),(-0.19537394664031912-0.46204036846446667j)
635.0,(-0.1968894054636656-0.468025067141623j),(0.01912527071326936+0.19584674208069022j),(0.12657323629165915-0.19725765530209013j),(-0.20231229197899506-0.4629828233477831j)
635.9999999999999,(-0.20440640200277724-0.46898292886624215j),(0.02807168730035571+0.1966616374049007j),(0.12026243027593449-0.20123383447514923j),(-0.2096122268298143-0.4636731084824248j)
637.0,(-0.2122535709811762-0.4696447609332508j),(0.036831535042064496+0.1969402189111071j),(0.11396006131762998-0.20485348906549009j),(-0.21722196747489864-0.46408191775750685j)
637.9999999999999,(-0.2203807690125235-0.4699856611138064j),(0.045377027443058555+0.1967322756632011j),(0.10768581586081749-0.20814427970844293j),(-0.22509304418687595-0.46419349393178694j)
638.9999999999999,(-0.228739007204656-0.46999277375284293j),(0.053687996418167+0.19608897153927213j),(0.10145660484916237-0.21113193725329676j),(-0.2331847785851095-0.46400097793869893j)
640.0,(-0.23728535881821564-0.46966287153988007j),(0.061754317726107275+0.1950605884145614j),(0.09528696683532571-0.21384253105780363j),(-0.24146466564941219-0.46350029361480893j)
641.0,(-0.2459849988722375-0.4689972410251529j),(0.06957568499517075+0.19369214713192273j),(0.08918718747565693-0.21630338411936684j),(-0.24990491506490672-0.4626859279377457j)
641.9999999999999,(-0.2548093192354859-0.4679969283804588j),(0.07715789228103312+0.19201989292809576j),(0.08316128472885131-0.21854135687844953j),(-0.25847778147196443-0.46155062309050754j)
642.9999999999999,(-0.2637317685045897-0.4666610859399834j),(0.08450744756913975+0.19007119409419174j),(0.07720718558827494-0.22057945140982002j),(-0.26715283883703034-0.46008838154837445j)
643.9999999999999,(-0.2727245222062275-0.4649889106232085j),(0.09162768472748826+0.18786807391855692j),(0.07131977214458839-0.22243421154003745j),(-0.27589777061672965-0.45829813918649004j)
645.0,(-0.28175830155379644-0.46298315214669794j),(0.09851861180635849+0.18543207753817176j),(0.06549523281890449-0.22411605808292662j),(-0.2846817580695914-0.456185328859108j)
645.9999999999999,(-0.29080526605428647-0.46065218550846615j),(0.10518021433714723+0.18278726594739747j),(0.059733977887314285-0.22563272253691968j),(-0.29347890093218354-0.45376028736333446j)
647.0,(-0.2998426582053751-0.45800883254787184j),(0.11161661640487647+0.17995945134226332j),(0.05404014943402832-0.22699373714038962j),(-0.3022693490030854-0.4510347299568257j)
648.0,(-0.30885436414519174-0.45506656786342936j),(0.11783799893410515+0.17697238699819612j),(0.048417964411358615-0.22821307761942694j),(-0.3110376371209562-0.4480187301369851j)
649.0,(-0.31782908705477864-0.4518356843545299j),(0.12385879495800407+0.1738436844333465j),(0.04286725498155956-0.22930816385355754j),(-0.31976971743600346-0.44472004473325544j)
649.9999999999998,(-0.3267562787870407-0.44832206408704445j),(0.12969326632887382+0.17058335529535282j),(0.03738115617514262-0.23029576430820012j),(-0.32845095620681575-0.441145772308815j)
651.0,(-0.3356225983918909-0.4445293855099457j),(0.13535133146370046+0.16719603420662968j),(0.03194754153732218-0.23118735281198297j),(-0.3370664428467154-0.43730462429695716j)
652.0,(-0.3444113382608514-0.44046319440462256j),(0.14083728963410064+0.16368543776395883j),(0.02655342990268865-0.2319868128354335j),(-0.3456031004368933-0.4332077399854791j)
652.9999999999999,(-0.35310522645982245-0.4361339497022998j),(0.14615208937561586+0.16005816217891886j),(0.02118974590105681-0.23269188169222751j),(-0.35405167221184164-0.4288671845027058j)
654.0,(-0.3616906899175672-0.4315568251292363j),(0.1512974197435421+0.15632445981647142j),(0.015853678766977616-0.23329839548102227j),(-0.3624067052995125-0.42429311741057485j)
655.0000000000001,(-0.37016063464803073-0.42674823401948764j),(0.15627876569071789+0.1524957351880811j),(0.010547467144821326-0.23380475151739324j),(-0.3706641169688437-0.419491760292976j)
656.0,(-0.378513752420431-0.4217212613734458j),(0.16110538394815854+0.14858070444784713j),(0.0052746545605888845-0.23421405214213184j),(-0.37881776457174826-0.41446589456987426j)
